SI_Number,SI_Type,SI_Subject,Case Number,SI_CreatedDate,Opened Date_Day of Week
SI - 4613,Tracking,Reconnecting to Server issue | LATAM Domanis,1,2023-04-19T07:46:31,Thursday
SI - 4612,Service Alert,US ANI is showing as Cambodia or other countries number,3,2023-04-19T07:04:27,Thursday
SI - 4612,Service Alert,US ANI is showing as Cambodia or other countries number,3,2023-04-19T07:04:27,Friday
SI - 4612,Service Alert,US ANI is showing as Cambodia or other countries number,1,2023-04-19T07:04:27,Monday
SI - 4612,Service Alert,US ANI is showing as Cambodia or other countries number,1,2023-04-19T07:04:27,Wednesday
SI - 4612,Service Alert,US ANI is showing as Cambodia or other countries number,1,2023-04-19T07:04:27,Tuesday
SI - 4611,Defect,,1,2023-04-18T13:10:25,Monday
SI - 4610,Defect,,1,2023-04-18T09:42:07,Thursday
SI - 4609,Defect,,1,2023-04-17T18:09:42,Monday
SI - 4609,Defect,,1,2023-04-17T18:09:42,Friday
SI - 4606,Defect,,1,2023-04-13T10:29:23,Friday
SI - 4606,Defect,,1,2023-04-13T10:29:23,Monday
SI - 4605,Defect,,1,2023-04-12T12:15:42,Wednesday
SI - 4604,Service Alert,Call dropping via 3rd party transfer loopback number,5,2023-04-12T11:35:54,Wednesday
SI - 4603,Threshold Alert,FARM MOVEMENT | frmapp-m-atl-increasing-busy-threads,3,2023-04-12T10:09:01,Wednesday
SI - 4601,Tracking,Unable To Send And/Or Receive SMS,1,2023-04-11T14:19:35,Tuesday
SI - 4600,Service Alert,Verint Adherence not updating,2,2023-04-11T09:21:43,Monday
SI - 4600,Service Alert,Verint Adherence not updating,4,2023-04-11T09:21:43,Tuesday
SI - 4600,Service Alert,Verint Adherence not updating,1,2023-04-11T09:21:43,Thursday
SI - 4599,Defect,Verint | Call stopped recording before call finished,1,2023-04-11T08:07:02,Thursday
SI - 4596,Tracking,Clearview Oregon Cluster - Blank Dashboards or Wallboards,9,2023-04-10T07:15:27,Monday
SI - 4594,Defect,,1,2023-04-09T20:11:41,Thursday
SI - 4593,Defect,,1,2023-04-07T12:17:45,Tuesday
SI - 4592,Defect,Mexico Timezone issue,3,2023-04-07T10:46:48,Monday
SI - 4592,Defect,Mexico Timezone issue,2,2023-04-07T10:46:48,Tuesday
SI - 4590,Tracking,Data Discrepancies between F9,2,2023-04-06T14:07:15,Monday
SI - 4590,Tracking,Data Discrepancies between F9,1,2023-04-06T14:07:15,Tuesday
SI - 4589,Tracking,Unable to deploy the Five9 Softphone MSI,3,2023-04-06T11:28:35,Wednesday
SI - 4589,Tracking,Unable to deploy the Five9 Softphone MSI,3,2023-04-06T11:28:35,Monday
